,Last__Name,First__Name,PassengerMiddleName,BirthDate,Passenger_Sex,FamilyStatus,TravelDoc,TicketNumber,NumberFlight,BookingCode,TravelClass,Fare,DepartDate,DepartureTime,DepartureCountry,DepartureCity,AirportDeparture,ArrivalDate,ArrivalTime,ArrivalCountry,CityArrival,ArrivalAirport,bonusprogramm,NickName,Status,ProgrammNumber,Meal,Baggage_right_y,Baggage_left,activity_type,CardsType,Dep_Time,Arr_Time,Aircraft,Travel_Time,airport_from,airport_to,Flag
9496,GALKINA,VLADA,FILIPPOVNA,,,MRS,1876 351375,1514446980069149.0,SU1444,JMYFAI,Y,YGRPLF,2017-03-17,06:35,,MOSCOW,SVO,2017-03-17,17:20,,IRKUTSK,IKT,,,,, ,1PC,,,,,,,,,,True
9613,GERASIMOV,TIHON,ARTEMICH,1993-08-28 00:00:00,Male,MR,1467 161945,1689699897261288.0,SU1270,LKCMRT,Y,YGRPGX,2017-04-11,05:55,Russian Federation,MOSCOW,SVO,2017-04-11,07:35,Russian Federation,Kazan,KZN,Aeroflot Bonus,FrequentFlyer76423,Basic,SU 97028142,VLML,2PC,None,Flight,Airlines,,,,,,,True
9751,GLEBOV,VIACHESLAV,DANIELEVICH,,,MR,6144 277369,9580488282017834.0,SU1465,DTZLHV,Y,YGRPYC,2017-01-15,16:40,,SARANSK,SKX,2017-01-15,18:15,,MOSCOW,SVO,,,,,RVML,1PC,,,,,,,,,,True
9961,GOLOVANOV,PLATON,DEMIDOVICH,,Male,MR,8859 511307,8687722408996808.0,SU1437,ZYYLKD,Y,YFLXCK,2017-10-13,12:25,Russian Federation,YEKATERINBURG,SVX,2017-10-13,13:05,Russian Federation,MOSCOW,SVO,Korean Air SKYPASS,FrequentFlyer99045,Basic,KE 528889973, ,2PC,,Flight,Airlines,,,,,,,True
10007,GOLOVIN,DANILA,ILDAROVICH,,,MR,0937 641448,6112801694470278.0,SU1352,WAZIBH,Y,YFLXFR,2017-09-30,22:50,,MOSCOW,SVO,2017-10-01,00:10,,VORONEZH,VOZ,,,,, ,0PC,,,,,,,,,,True
10166,GOLUBEVA,VITALINA,SVIATOGOROVNA,11/20/1982,Female,MRS,0858 449089,1566250198166316.0,SU4606,ANNRGN,Y,YSTNBU,2017-01-06,12:10,,OKHA,OHH,2017-01-06,13:20,,Khabarovsk,KHV,,,,,NLML,0PC,None,,,,,,,,,True
10289,GORBACHEV,VLADIMIR,IAROMIROVICH,2000-10-20 00:00:00,Male,MR,7596 941512,2203042497672668.0,SU1531,WLXSRM,Y,YGRPKB,2017-04-15,07:55,,TOMSK,TOF,2017-04-15,08:20,,Moscow,SVO,,,,,MOML,2PC,Delayed,,,,,,,,,True
10344,GORBUNOV,EVGENII,ZAHAROVICH,06/21/1982,Male,MR,2780 911343,2117884908111568.0,SU5612,ZCVNXQ,Y,YSTNFZ,2017-01-23,10:55,,KHABAROVSK,KHV,2017-01-23,14:25,,Magadan,GDX,,,,, ,0PC,Registered,,,,,,,,,True
10373,GORBUNOVA,ALEKSANDRA,VIACHESLAVOVNA,,,MRS,7001 661319,6665838174759300.0,SU6181,NGJMZC,A,AGRPHR,2017-11-14,17:25,,MOSCOW,SVO,2017-11-14,19:50,,SOCHI,AER,,,,, ,2PC,,,,,,,,,,True
10456,GORDEEV,VLADISLAV,PLATONOVICH,,,,0449 128505,3277280361541351.0,SU1009,UQDNIU,J,JFLXYD,2017-12-28,03:50, Russian Federation,Kaliningrad ,KGD,2017-12-28,06:45, Russian Federation,Moscow ,SVO,,,,, ,1PC,,,,03:50,06:45,32A,1H55M,KGD,SV,True
10503,GORELOV,DENIS,OLEGOVICH,1996-06-09,,MR,9069 730971,2456268551428565.0,SU1409,POPOEZ,Y,YGRPTA,2017-01-04,05:05,,YEKATERINBURG,SVX,2017-01-04,05:35,,MOSCOW,SVO,,,,, ,1PC,,,,,,,,,,True
10513,GORELOV,RUSTAM,ALEKSEEVICH,1991-11-22,,MR,5605 957700,504751997574545.0,SU1535,KAJZJE,Y,YGRPVY,2017-08-05,21:15,,CHELYABINSK,CEK,2017-08-05,21:55,,MOSCOW,SVO,,,,,VGML,0PC,,,,,,,,,,True
10576,GORIACHEV,VALERII,DANIILOVICH,03/31/1999,Male,MR,4289 613893,5349426868666541.0,SU5622,UFJTMI,Y,YSTNFG,2017-02-27,19:45, Russian Federation,KHABAROVSK,KHV,2017-02-27,22:05, Russian Federation,Yuzhno,UUS,,,,, ,1PC,Registered,,,19:45,22:05,319,2H20M,KHV,UUS,True
10701,GORLOV,EMIL,RINATOVICH,,,MR,65 0156512,6530710192549529.0,SU1165,TBUYTT,Y,YRSTSS,2017-02-21,01:55,,ROSTOV,ROV,2017-02-21,04:00,,MOSCOW,SVO,,,,,DNML,1PC,,,,,,,,,,True
10861,GORSHKOV,STANISLAV,GEORGIEVICH,,,MR,3844 768533,9140842722203198.0,SU1335,LVQORH,A,AGRPQH,2017-01-18,02:50,,ARKHANGELSK,ARH,2017-01-18,04:40,,MOSCOW,SVO,,,,, ,2PC,,,,,,,,,,True
10989,GREKOV,NIKOLAI,MARKOVICH,,,MR,9517 605350,4716413532505753.0,SU1136,UDBSCT,A,ARSTPE,2017-02-05,08:55,,MOSCOW,SVO,2017-02-05,11:20,,SOCHI,AER,Delta SkyMiles,,,DT 324922643, ,0PC,,Flight,Airlines,,,,,,,True
11164,GRIGOREV,IAROSLAV,TAMERLANOVICH,1990-11-06 00:00:00,Male,,40 8690218,2530138025701134.0,SU6282,SQLVYP,Y,YFLXGW,2017-03-09,12:00, Russian Federation,Vladivostok ,VVO,2017-03-09,14:05, Russian Federation,Moscow,SVO,,,,, ,0PC,Registered,,,12:00,14:05,EQV,9H5M,VV,SV,True
11217,GRISHIN,RADMIR,DAVIDOVICH,1998-01-29,,MR,2934 875112,4198065051549483.0,SU1445,JOXULS,Y,YGRPIA,2017-01-18,19:40,,IRKUTSK,IKT,2017-01-18,20:50,,MOSCOW,SVO,Aeroflot Bonus,,,SU 391132447,DNML,1PC,,Flight,Airlines,,,,,,,True
11244,GROMOV,ARTEM,GRIGOREVICH,01/15/1996,Male,MR,0371 230320,6555441645476535.0,SU1351,UCGRCR,Y,YSTNZV,2017-01-04,11:10,,VORONEZH,VOZ,2017-01-04,12:20,,Moscow,SVO,,,,,RVML,0PC,Delayed,,,,,,,,,True
